,,,,,,Daily Price Report-01-01-2025 to 31-12-2025 for Andhra Pradesh,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,"1,000.00","1,200.00","1,150.00",Rs./Quintal,20-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Badami,Large,"1,500.00","2,000.00","1,600.00",Rs./Quintal,19-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,"1,000.00","1,200.00","1,150.00",Rs./Quintal,19-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Badami,Large,"1,500.00","2,000.00","1,600.00",Rs./Quintal,18-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,"1,000.00","1,200.00","1,150.00",Rs./Quintal,18-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Badami,Large,"1,500.00","2,000.00","1,600.00",Rs./Quintal,17-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,"1,000.00","1,200.00","1,150.00",Rs./Quintal,17-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Badami,Large,"1,500.00","2,000.00","1,600.00",Rs./Quintal,16-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,"1,000.00","1,400.00","1,200.00",Rs./Quintal,16-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Badami,Large,"1,500.00","2,000.00","1,600.00",Rs./Quintal,15-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,"1,000.00","1,400.00","1,200.00",Rs./Quintal,15-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Badami,Large,"1,500.00","2,000.00","1,600.00",Rs./Quintal,14-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,"1,200.00","1,500.00","1,300.00",Rs./Quintal,14-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Badami,Large,"1,500.00","2,000.00","1,700.00",Rs./Quintal,13-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,"1,200.00","1,500.00","1,400.00",Rs./Quintal,13-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Badami,Large,"1,500.00","2,000.00","1,600.00",Rs./Quintal,12-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,"1,000.00","1,500.00","1,300.00",Rs./Quintal,12-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Badami,Large,"1,500.00","2,000.00","1,600.00",Rs./Quintal,11-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,"1,000.00","1,500.00","1,300.00",Rs./Quintal,11-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Badami,Large,"1,500.00","2,000.00","1,600.00",Rs./Quintal,10-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,"1,000.00","1,500.00","1,300.00",Rs./Quintal,10-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Badami,Large,"1,500.00","2,000.00","1,600.00",Rs./Quintal,09-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,"1,000.00","1,500.00","1,200.00",Rs./Quintal,09-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Badami,Large,"1,500.00","2,000.00","1,600.00",Rs./Quintal,08-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Medium,"1,000.00","1,500.00","1,200.00",Rs./Quintal,08-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Badami,Large,"1,500.00","2,000.00","1,600.00",Rs./Quintal,07-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,"1,000.00","1,500.00","1,200.00",Rs./Quintal,07-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Badami,Large,"1,500.00","2,000.00","1,600.00",Rs./Quintal,06-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,"1,000.00","1,500.00","1,200.00",Rs./Quintal,06-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Badami,Large,"1,500.00","2,000.00","1,600.00",Rs./Quintal,05-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,"1,000.00","1,500.00","1,200.00",Rs./Quintal,05-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Badami,Large,"1,500.00","2,000.00","1,800.00",Rs./Quintal,04-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,"1,000.00","1,500.00","1,300.00",Rs./Quintal,04-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Badami,Large,"1,500.00","2,000.00","1,800.00",Rs./Quintal,03-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,"1,000.00","1,500.00","1,300.00",Rs./Quintal,03-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Badami,Large,"1,500.00","2,000.00","1,800.00",Rs./Quintal,02-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,"1,000.00","1,300.00","1,300.00",Rs./Quintal,02-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Badami,Medium,"1,500.00","2,000.00","1,800.00",Rs./Quintal,01-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,"1,000.00","1,300.00","1,300.00",Rs./Quintal,01-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Badami,Large,"1,500.00","2,000.00","1,800.00",Rs./Quintal,31-05-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,"1,000.00","1,500.00","1,200.00",Rs./Quintal,31-05-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Badami,Large,"1,500.00","2,500.00","2,300.00",Rs./Quintal,30-05-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,"1,500.00","1,800.00","1,700.00",Rs./Quintal,30-05-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Badami,Large,"1,500.00","2,500.00","2,300.00",Rs./Quintal,29-05-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Medium,"1,500.00","1,800.00","1,700.00",Rs./Quintal,29-05-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Badami,Medium,"1,500.00","2,500.00","2,300.00",Rs./Quintal,28-05-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Medium,"1,500.00","1,800.00","1,700.00",Rs./Quintal,28-05-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Badami,Medium,"1,500.00","2,500.00","2,300.00",Rs./Quintal,27-05-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,"1,500.00","1,800.00","1,700.00",Rs./Quintal,27-05-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Badami,Medium,"2,500.00","3,000.00","2,800.00",Rs./Quintal,26-05-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Medium,800.00,"1,200.00","1,000.00",Rs./Quintal,26-05-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Badami,Medium,"2,500.00","3,000.00","2,800.00",Rs./Quintal,25-05-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Medium,800.00,"1,200.00","1,000.00",Rs./Quintal,25-05-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Badami,Medium,"2,500.00","3,000.00","2,800.00",Rs./Quintal,24-05-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Medium,800.00,"1,200.00","1,000.00",Rs./Quintal,24-05-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Badami,Medium,"2,500.00","3,000.00","2,800.00",Rs./Quintal,23-05-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Medium,800.00,"1,200.00","1,000.00",Rs./Quintal,23-05-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Badami,Medium,"2,000.00","3,000.00","2,500.00",Rs./Quintal,22-05-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Medium,800.00,"1,200.00","1,000.00",Rs./Quintal,22-05-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Badami,Medium,"2,000.00","3,000.00","2,500.00",Rs./Quintal,21-05-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Medium,800.00,"1,200.00","1,000.00",Rs./Quintal,21-05-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Badami,Medium,"2,000.00","3,000.00","2,500.00",Rs./Quintal,20-05-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Medium,800.00,"1,200.00","1,000.00",Rs./Quintal,20-05-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Other,Medium,"2,000.00","3,000.00","2,500.00",Rs./Quintal,08-07-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Totapuri,Medium,900.00,"1,000.00",950.00,Rs./Quintal,08-07-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Other,Medium,"2,000.00","3,000.00","2,500.00",Rs./Quintal,07-07-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Totapuri,Medium,900.00,"1,000.00",950.00,Rs./Quintal,07-07-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Totapuri,Medium,900.00,"1,000.00",950.00,Rs./Quintal,05-07-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Other,Medium,"2,000.00","3,000.00","2,500.00",Rs./Quintal,04-07-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Totapuri,Medium,900.00,"1,000.00",950.00,Rs./Quintal,04-07-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Other,Medium,"2,000.00","3,000.00","2,500.00",Rs./Quintal,03-07-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Totapuri,Medium,900.00,"1,000.00",950.00,Rs./Quintal,03-07-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Other,Medium,"2,000.00","3,000.00","2,500.00",Rs./Quintal,02-07-2025
